Site,Latitude,Longitude,Coord_reference,Country
Alanje,38.78588,-6.244232,Alange,Spain
Alcalar 7,37.197839,-8.5891,Alcalar (Megalith site),Portugal
Anta 4 Zambujeiro,38.539214,-8.014311,Dolmen de Zambujeiro,Portugal
Anta das Castelhanas,39.393912,-7.376521,Marvão,Portugal
"Anta de N. Sra. da Conceição/
Estremoz 7",38.842512,-7.588838,Estremoz,Portugal
Belmeque,38.028589,-7.40003,Belmeque,Portugal
Bugalhos,37.944345,-7.597874,Serpa,Portugal
Cadavais,38.036307,-7.605442,Brinches,Portugal
Carrascalejo,38.879448,-6.970616,Badajoz,Spain
Casarão da Mesquita 3,38.45866,-7.763398,São Manços ,Portugal
Casarão da Mesquita 4,38.45866,-7.763398,São Manços ,Portugal
Casas Velhas,38.115197,-8.720356,Necrópole de Cistas das Casas Velhas,Portugal
Castellón Alto ,37.740025,-2.565804,Castellón Alto ,Spain
Castro dos Ratinhos,38.14133,-7.319263,Santo Amador,Portugal
Casullo,37.61139,-6.543505,Dolmen Casullo,Spain
Centirã 2,38.036307,-7.605442,Brinches,Portugal
Cerro  de  la  Encina,37.136695,-3.548348,Cerro  de  la  Encina,Spain
Cerro da Mangancha,37.885538,-8.174925,Cerro da Mangancha,Portugal
Cerro de la Virgen,37.727194,-2.514091,Cerro de la Virgen,Spain
Chinflón,37.606552,-6.641265,Mina del Chinflón,Spain
Corça 2,37.945702,-7.597812,Serpa,Portugal
Corta Lago,37.690761,-6.597258,Minas de Rio Tinto,Spain
Cuesta del Negro,37.317259,-3.186752,Purullena,Spain
Depósito de Huelva,37.261421,-6.944722,Huelva,Spain
Entre Águas 5,37.944345,-7.597874,Serpa,Portugal
Evoramonte,38.771424,-7.716218,Evoramonte,Portugal
Galeria da Cisterna,39.479006,-8.540103,Torres Novas,Portugal
Gruta do Caldeirão,39.605382,-8.404315,Tomar,Portugal
Herdade do Pomar,37.965239,-8.079257,Ervidel,Portugal
Horta do Albardão,38.45866,-7.763398,São Manços ,Portugal
Horta do Folgão,37.944345,-7.597874,Serpa,Portugal
Horta do Jacinto,38.056856,-7.985861,Beringel,Portugal
Horta do Panéque,38.056856,-7.985861,Beringel,Portugal
"Huelva, Plaza de Monjas",37.261421,-6.944722,Huelva,Spain
La Pápua,37.261421,-6.944722,Huelva,Spain
La Venta,37.549714,-6.868161,Rio Odiel,Espanha
Las Minitas,38.691458,-6.405845,Almendralejo,Spain
Medellín SMRO,38.879404,-6.97071,Badajoz,Spain
Miguens 3,38.702133,-7.403649,Alandroal,Portugal
Monte da Cabida 3,38.45866,-7.763398,São Manços ,Portugal
Monte da Velha 1,37.930779,-7.31927,Vila Verde de Ficalho,Portugal
Monte do Gato de Cima,38.036307,-7.605442,Brinches,Portugal
Outeiro Alto 2,38.036307,-7.605442,Brinches,Portugal
Passo Alto,37.930779,-7.319254,Vila Verde de Ficalho,Portugal
Pedreira de Trigaches 2,38.071925,-7.946141,São Brissos,Portugal
Pessegueiro,37.830491,-8.781058,Herdade do Pessegueiro,Portugal
Pontes de Marchil,37.034615,-7.949732,Pontes de Marchil,Portugal
Porto das Carretas (Phase II),38.081324,-8.809706,Porto das Carretas,Portugal
Praia da Oliveirinha,37.892517,-8.797399,Praia da Oliveirinha,Portugal
Quinta do Marcelo,38.676524,-9.165105,Almada,Portugal
Quinta do Percevejo,38.665845,-9.194595,Monte de Caparica,Portugal
Roça do Casal do Meio,38.463516,-9.05567,Quinta de Calhariz,Portugal
Rocha do Vigio 2,38.425207,-7.53437,Reguengos de Monsaraz,Portugal
Salsa 3,37.945702,-7.597812,Serpa,Portugal
San Blás,38.511796,-7.282821,Cheles,Spain
Tanchoal dos Patudos,39.259189,-8.582005,Alpiarça,Portugal
Torre Velha 3,37.96928635,-7.51897482,Torre Velha 3,Portugal
Trastejón,37.261421,-6.944722,Huelva,Spain
Pedras Grandes,38.79537,-9.185961,Odivelas,Portugal
Anta 2 dos Cebolinhos,38.425207,-7.53437,Reguengos de Monsaraz,Portugal
Anta 3 de Santa Margarida,38.425207,-7.53437,Reguengos de Monsaraz,Portugal
Anta Grande Zambujeiro,38.501125,-8.026163,Nossa Senhora da Tourega,Portugal
São Paulo 2,38.676519,-9.165076,Almada,Portugal
Vale Rodrigo 2,38.571435,-7.913544,Evora,Portugal
Pedra Escorregadia,37.082973,-8.909183,Vila do Bispo,Portugal
Tholos La Pijotilla 1,38.774464,-4.832622,Almadén ,Spain
Huerta Montero,38.691457,-6.405842,Almendralejo,Spain
Los Gabrieles 4,37.574634,-6.753414,Valverde del Camino,Spain
El Pozuelo Dolmen 6,37.676133,-6.658029,Zalamea la Real,Spain
Dolmen de la Paloma,37.261421,-6.944722,Huelva,Spain
Puerto de los Huertos,37.608094,-6.541991,Berrocal,Spain
